,well,serum,dilution_factor,replicate,fastq
0,A1,none,0,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_1_S1_R1_001.fastq.gz
1,B1,none,0,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_2_S2_R1_001.fastq.gz
2,C1,none,0,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_3_S3_R1_001.fastq.gz
3,D1,none,0,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_4_S4_R1_001.fastq.gz
4,E1,none,0,5,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_5_S5_R1_001.fastq.gz
5,F1,none,0,6,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_6_S6_R1_001.fastq.gz
6,G1,none,0,7,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_7_S7_R1_001.fastq.gz
7,H1,none,0,8,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_8_S8_R1_001.fastq.gz
8,A2,AUS24_s010_postvax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_9_S9_R1_001.fastq.gz
9,B2,AUS24_s010_prevax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_10_S10_R1_001.fastq.gz
10,C2,AUS24_s009_postvax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_11_S11_R1_001.fastq.gz
11,D2,AUS24_s009_prevax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_12_S12_R1_001.fastq.gz
12,E2,AUS24_s008_postvax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_13_S13_R1_001.fastq.gz
13,F2,AUS24_s008_prevax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_14_S14_R1_001.fastq.gz
14,G2,AUS24_s007_postvax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_15_S15_R1_001.fastq.gz
15,H2,AUS24_s007_prevax,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_16_S16_R1_001.fastq.gz
16,A3,AUS24_s010_postvax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_17_S17_R1_001.fastq.gz
17,B3,AUS24_s010_prevax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_18_S18_R1_001.fastq.gz
18,C3,AUS24_s009_postvax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_19_S19_R1_001.fastq.gz
19,D3,AUS24_s009_prevax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_20_S20_R1_001.fastq.gz
20,E3,AUS24_s008_postvax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_21_S21_R1_001.fastq.gz
21,F3,AUS24_s008_prevax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_22_S22_R1_001.fastq.gz
22,G3,AUS24_s007_postvax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_23_S23_R1_001.fastq.gz
23,H3,AUS24_s007_prevax,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_24_S24_R1_001.fastq.gz
24,A4,AUS24_s010_postvax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_25_S25_R1_001.fastq.gz
25,B4,AUS24_s010_prevax,160,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240924_VH01189_349_AAFT3LJM5/Unaligned/Project_aloes/PlateB_26_S26_R1_001.fastq.gz
