,well,serum,dilution_factor,replicate,fastq
0,A1,none,0,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_1_S1_L002_R1_001.fastq.gz
1,B1,none,0,2,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_2_S2_L002_R1_001.fastq.gz
2,C1,none,0,3,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_3_S3_L002_R1_001.fastq.gz
3,D1,none,0,4,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_4_S4_L002_R1_001.fastq.gz
4,E1,none,0,5,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_5_S5_L002_R1_001.fastq.gz
5,F1,none,0,6,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_6_S6_L002_R1_001.fastq.gz
6,G1,none,0,7,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_7_S7_L002_R1_001.fastq.gz
7,H1,none,0,8,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_8_S8_L002_R1_001.fastq.gz
8,A2,DRIVE_y1990_s038_d30,40,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_9_S9_L002_R1_001.fastq.gz
9,B2,DRIVE_y1990_s038_d0,40,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_10_S10_L002_R1_001.fastq.gz
10,C2,DRIVE_y1976_s001_d30,40,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_11_S11_L002_R1_001.fastq.gz
11,D2,DRIVE_y1976_s001_d0,40,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_12_S12_L002_R1_001.fastq.gz
12,E2,DRIVE_y1977_s012_d30,40,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_13_S13_L002_R1_001.fastq.gz
13,F2,DRIVE_y1977_s012_d0,40,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_14_S14_L002_R1_001.fastq.gz
14,G2,DRIVE_y1991_s008_d30,40,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_15_S15_L002_R1_001.fastq.gz
15,H2,DRIVE_y1991_s008_d0,40,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_16_S16_L002_R1_001.fastq.gz
16,A3,DRIVE_y1990_s038_d30,80,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_17_S17_L002_R1_001.fastq.gz
17,B3,DRIVE_y1990_s038_d0,80,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_18_S18_L002_R1_001.fastq.gz
18,C3,DRIVE_y1976_s001_d30,80,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_19_S19_L002_R1_001.fastq.gz
19,D3,DRIVE_y1976_s001_d0,80,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_20_S20_L002_R1_001.fastq.gz
20,E3,DRIVE_y1977_s012_d30,80,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_21_S21_L002_R1_001.fastq.gz
21,F3,DRIVE_y1977_s012_d0,80,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_22_S22_L002_R1_001.fastq.gz
22,G3,DRIVE_y1991_s008_d30,80,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_23_S23_L002_R1_001.fastq.gz
23,H3,DRIVE_y1991_s008_d0,80,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_24_S24_L002_R1_001.fastq.gz
24,A4,DRIVE_y1990_s038_d30,160,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_25_S25_L002_R1_001.fastq.gz
25,B4,DRIVE_y1990_s038_d0,160,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_26_S26_L002_R1_001.fastq.gz
26,C4,DRIVE_y1976_s001_d30,160,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_27_S27_L002_R1_001.fastq.gz
27,D4,DRIVE_y1976_s001_d0,160,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_28_S28_L002_R1_001.fastq.gz
28,E4,DRIVE_y1977_s012_d30,160,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_29_S29_L002_R1_001.fastq.gz
29,F4,DRIVE_y1977_s012_d0,160,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_30_S30_L002_R1_001.fastq.gz
30,G4,DRIVE_y1991_s008_d30,160,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_31_S31_L002_R1_001.fastq.gz
31,H4,DRIVE_y1991_s008_d0,160,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_32_S32_L002_R1_001.fastq.gz
32,A5,DRIVE_y1990_s038_d30,320,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_33_S33_L002_R1_001.fastq.gz
33,B5,DRIVE_y1990_s038_d0,320,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_34_S34_L002_R1_001.fastq.gz
34,C5,DRIVE_y1976_s001_d30,320,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_35_S35_L002_R1_001.fastq.gz
35,D5,DRIVE_y1976_s001_d0,320,1,/shared/ngs/illumina/aloes/20241223_LH00740_0033_A22WH77LT3/Unaligned/DRIVE_H1N1_PlatesAtoD/PlateB_36_S36_L002_R1_001.fastq.gz
