well,serum,dilution_factor,replicate,fastq
B1,MOI_100K_rep1_6h,2,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_2_S2_R1_001.fastq.gz
C1,MOI_100K_rep1_6h,4,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_3_S3_R1_001.fastq.gz
D1,MOI_100K_rep1_6h,8,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_4_S4_R1_001.fastq.gz
E1,MOI_100K_rep1_6h,16,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_5_S5_R1_001.fastq.gz
F1,MOI_100K_rep1_6h,32,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_6_S6_R1_001.fastq.gz
G1,MOI_100K_rep1_6h,64,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_7_S7_R1_001.fastq.gz
H1,MOI_100K_rep1_6h,128,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_8_S8_R1_001.fastq.gz
B2,MOI_100K_rep2_6h,2,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_10_S10_R1_001.fastq.gz
C2,MOI_100K_rep2_6h,4,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_11_S11_R1_001.fastq.gz
D2,MOI_100K_rep2_6h,8,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_12_S12_R1_001.fastq.gz
E2,MOI_100K_rep2_6h,16,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_13_S13_R1_001.fastq.gz
F2,MOI_100K_rep2_6h,32,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_14_S14_R1_001.fastq.gz
G2,MOI_100K_rep2_6h,64,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_15_S15_R1_001.fastq.gz
H2,MOI_100K_rep2_6h,128,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_16_S16_R1_001.fastq.gz
B4,MOI_200K_rep1_6h,2,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_26_S26_R1_001.fastq.gz
C4,MOI_200K_rep1_6h,4,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_27_S27_R1_001.fastq.gz
D4,MOI_200K_rep1_6h,8,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_28_S28_R1_001.fastq.gz
E4,MOI_200K_rep1_6h,16,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_29_S29_R1_001.fastq.gz
F4,MOI_200K_rep1_6h,32,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_30_S30_R1_001.fastq.gz
G4,MOI_200K_rep1_6h,64,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_31_S31_R1_001.fastq.gz
H4,MOI_200K_rep1_6h,128,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240423_VH00319_493_AAFMH75M5/Unaligned/Project_aloes/PlateA_32_S32_R1_001.fastq.gz
