,well,serum,dilution_factor,replicate,fastq
0,A1,none,0,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_1_S1_L001_R1_001.fastq.gz
1,B1,none,0,2,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_2_S2_L001_R1_001.fastq.gz
2,C1,none,0,3,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_3_S3_L001_R1_001.fastq.gz
3,D1,none,0,4,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_4_S4_L001_R1_001.fastq.gz
4,E1,none,0,5,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_5_S5_L001_R1_001.fastq.gz
5,F1,none,0,6,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_6_S6_L001_R1_001.fastq.gz
6,G1,none,0,7,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_7_S7_L001_R1_001.fastq.gz
7,H1,none,0,8,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_8_S8_L001_R1_001.fastq.gz
8,A2,DRIVE_y1983_s034_d30,40,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_9_S9_L001_R1_001.fastq.gz
9,B2,DRIVE_y1983_s034_d0,40,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_10_S10_L001_R1_001.fastq.gz
10,C2,DRIVE_y1999_s013_d30,40,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_11_S11_L001_R1_001.fastq.gz
11,D2,DRIVE_y1999_s013_d0,40,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_12_S12_L001_R1_001.fastq.gz
16,A3,DRIVE_y1983_s034_d30,80,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_17_S17_L001_R1_001.fastq.gz
17,B3,DRIVE_y1983_s034_d0,80,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_18_S18_L001_R1_001.fastq.gz
18,C3,DRIVE_y1999_s013_d30,80,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_19_S19_L001_R1_001.fastq.gz
19,D3,DRIVE_y1999_s013_d0,80,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_20_S20_L001_R1_001.fastq.gz
24,A4,DRIVE_y1983_s034_d30,160,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_25_S25_L001_R1_001.fastq.gz
25,B4,DRIVE_y1983_s034_d0,160,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_26_S26_L001_R1_001.fastq.gz
26,C4,DRIVE_y1999_s013_d30,160,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_27_S27_L001_R1_001.fastq.gz
27,D4,DRIVE_y1999_s013_d0,160,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_28_S28_L001_R1_001.fastq.gz
32,A5,DRIVE_y1983_s034_d30,320,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_33_S33_L001_R1_001.fastq.gz
33,B5,DRIVE_y1983_s034_d0,320,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_34_S34_L001_R1_001.fastq.gz
34,C5,DRIVE_y1999_s013_d30,320,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_35_S35_L001_R1_001.fastq.gz
35,D5,DRIVE_y1999_s013_d0,320,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_36_S36_L001_R1_001.fastq.gz
40,A6,DRIVE_y1983_s034_d30,640,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_41_S41_L001_R1_001.fastq.gz
41,B6,DRIVE_y1983_s034_d0,640,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_42_S42_L001_R1_001.fastq.gz
42,C6,DRIVE_y1999_s013_d30,640,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_43_S43_L001_R1_001.fastq.gz
43,D6,DRIVE_y1999_s013_d0,640,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_44_S44_L001_R1_001.fastq.gz
48,A7,DRIVE_y1983_s034_d30,1280,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_49_S49_L001_R1_001.fastq.gz
49,B7,DRIVE_y1983_s034_d0,1280,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_50_S50_L001_R1_001.fastq.gz
50,C7,DRIVE_y1999_s013_d30,1280,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_51_S51_L001_R1_001.fastq.gz
51,D7,DRIVE_y1999_s013_d0,1280,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_52_S52_L001_R1_001.fastq.gz
56,A8,DRIVE_y1983_s034_d30,2560,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_57_S57_L001_R1_001.fastq.gz
57,B8,DRIVE_y1983_s034_d0,2560,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_58_S58_L001_R1_001.fastq.gz
58,C8,DRIVE_y1999_s013_d30,2560,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_59_S59_L001_R1_001.fastq.gz
59,D8,DRIVE_y1999_s013_d0,2560,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_60_S60_L001_R1_001.fastq.gz
64,A9,DRIVE_y1983_s034_d30,5120,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_65_S65_L001_R1_001.fastq.gz
65,B9,DRIVE_y1983_s034_d0,5120,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_66_S66_L001_R1_001.fastq.gz
66,C9,DRIVE_y1999_s013_d30,5120,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_67_S67_L001_R1_001.fastq.gz
67,D9,DRIVE_y1999_s013_d0,5120,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_68_S68_L001_R1_001.fastq.gz
72,A10,DRIVE_y1983_s034_d30,10240,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_73_S73_L001_R1_001.fastq.gz
73,B10,DRIVE_y1983_s034_d0,10240,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_74_S74_L001_R1_001.fastq.gz
74,C10,DRIVE_y1999_s013_d30,10240,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_75_S75_L001_R1_001.fastq.gz
75,D10,DRIVE_y1999_s013_d0,10240,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_76_S76_L001_R1_001.fastq.gz
80,A11,DRIVE_y1983_s034_d30,20480,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_81_S81_L001_R1_001.fastq.gz
81,B11,DRIVE_y1983_s034_d0,20480,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_82_S82_L001_R1_001.fastq.gz
82,C11,DRIVE_y1999_s013_d30,20480,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_83_S83_L001_R1_001.fastq.gz
83,D11,DRIVE_y1999_s013_d0,20480,1,/shared/ngs/illumina/aloes/20250318_LH00740_0060_B232JNWLT3/Unaligned/250311_DRIVEIandJ_ALAB/PlateB_84_S84_L001_R1_001.fastq.gz
