,well,serum,dilution_factor,replicate,fastq
0,A1,none,0,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_1_S1_R1_001.fastq.gz
1,B1,none,0,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_2_S2_R1_001.fastq.gz
2,C1,none,0,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_3_S3_R1_001.fastq.gz
3,D1,none,0,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_4_S4_R1_001.fastq.gz
4,E1,none,0,5,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_5_S5_R1_001.fastq.gz
5,F1,none,0,6,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_6_S6_R1_001.fastq.gz
6,G1,none,0,7,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_7_S7_R1_001.fastq.gz
7,H1,none,0,8,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_8_S8_R1_001.fastq.gz
8,A2,PENN23_y1994_s024_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_9_S9_R1_001.fastq.gz
9,B2,PENN23_y1994_s024_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_10_S10_R1_001.fastq.gz
10,C2,PENN23_y1996_s013_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_11_S11_R1_001.fastq.gz
11,D2,PENN23_y1996_s013_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_12_S12_R1_001.fastq.gz
12,E2,PENN23_y1949_s012_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_13_S13_R1_001.fastq.gz
13,F2,PENN23_y1949_s012_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240919_VH01189_348_AAFT2LVM5/Unaligned/Project_aloes/PlateA_14_S14_R1_001.fastq.gz
