,well,serum,dilution_factor,replicate,fastq
0,H1,none,0,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_1_S1_R1_001.fastq.gz
1,G1,none,0,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_2_S2_R1_001.fastq.gz
2,F1,none,0,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_3_S3_R1_001.fastq.gz
3,E1,none,0,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_4_S4_R1_001.fastq.gz
4,D1,none,0,5,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_5_S5_R1_001.fastq.gz
5,C1,none,0,6,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_6_S6_R1_001.fastq.gz
6,B1,none,0,7,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_7_S7_R1_001.fastq.gz
7,A1,none,0,8,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_8_S8_R1_001.fastq.gz
8,H2,PENN23_y1971_s044_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_9_S9_R1_001.fastq.gz
9,G2,PENN23_y1971_s044_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_10_S10_R1_001.fastq.gz
10,F2,PENN23_y1974_s011_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_11_S11_R1_001.fastq.gz
11,E2,PENN23_y1974_s011_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_12_S12_R1_001.fastq.gz
12,D2,PENN23_y1994_s005_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_13_S13_R1_001.fastq.gz
13,C2,PENN23_y1994_s005_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_14_S14_R1_001.fastq.gz
14,B2,PENN23_y1994_s021_d0,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_15_S15_R1_001.fastq.gz
15,A2,PENN23_y1994_s021_d28,40,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_16_S16_R1_001.fastq.gz
16,H3,PENN23_y1971_s044_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_17_S17_R1_001.fastq.gz
17,G3,PENN23_y1971_s044_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_18_S18_R1_001.fastq.gz
18,F3,PENN23_y1974_s011_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_19_S19_R1_001.fastq.gz
19,E3,PENN23_y1974_s011_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_20_S20_R1_001.fastq.gz
20,D3,PENN23_y1994_s005_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_21_S21_R1_001.fastq.gz
21,C3,PENN23_y1994_s005_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_22_S22_R1_001.fastq.gz
22,B3,PENN23_y1994_s021_d0,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_23_S23_R1_001.fastq.gz
23,A3,PENN23_y1994_s021_d28,80,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240612_VH00319_522_AAFT3NGM5/Unaligned/Project_aloes/PlateA_24_S24_R1_001.fastq.gz
