,strain,vol_to_add,est_tcid50
0,A/Argentina/677/2023,722.4479658099104,1689.1320313040876
3,A/Argentina/824/2023,1394.16666965266,875.2970692550165
6,A/Arizona/43/2023,3088.6421073514375,395.09595401017066
9,A/Arizona/IVYG43Q65T3/2023,221.90499168756003,5499.245378482446
12,A/Brazil/GIHSN-HCL023128467501/2023,125.47181365026177,9725.769991668994
15,A/Brisbane/02/2018,898.207913717505,1358.6052642860584
18,A/California/07/2009,501.6435241553055,2432.6238478904397
21,A/California/75/2023,2108.2738339074376,578.8194969617865
24,A/California/82/2023,10.036813172367456,121583.4128864388
27,A/Cambodia/KPH230176/2023,356.3712420492468,3424.2662033637544
30,A/Cambodia/SVH230198/2023,75.76447228996086,16106.625745767873
33,A/ChiangRai/P3437/2023,51.786706122145546,23564.15557926668
36,A/Chungbuk/1553/2023,466.0109001310906,2618.6297351772723
39,A/CostaRica/INC-0036-793184/2023,1465.8341233846197,832.5021095717822
42,A/CostaRica/INC-0048-796565/2023,641.2741136731156,1902.945985157984
45,A/CostaRica/INC-0053-796776/2023,497.70030921670246,2451.897210834699
48,A/CostaRica/INC-0348-802602/2023,974.822077515904,1251.828439410874
51,A/Denmark/1567/2023,26.031285896225175,46878.59081817231
54,A/EspiritoSanto/6964/2023,28.065855947014033,43480.2345705701
57,A/Ghana/1127/2023,279.3372760942721,4368.589889120863
60,A/Gwangju/1254/2023,4600.446272398107,265.25904830617236
63,A/Hawaii/70/2019,437.4054503999631,2789.8829310063456
66,A/Jeonbuk/1544/2023,13.853876821332166,88084.36914358655
69,A/Michigan/45/2015,314.0466731512467,3885.759997885065
72,A/Michigan/MISAPPHIREL365374393/2023,13.500171821296012,90392.18286651782
75,A/NakhonPhanom/P3460/2023,38.399096814999304,31779.653721525225
78,A/Netherlands/1739/2023,3163.3286452825223,385.7676949942746
81,A/NewHampshire/7/2023,41.296421316650694,29550.018163631332
84,A/Norway/7787/2023,1581.7552429597022,771.4910416333544
87,A/Norway/8030/2023,204.9048738998644,5955.495234322034
90,A/Norway/9845/2023,37.244676088781915,32764.68285268715
92,A/Oregon/32/2023,452.68993527859425,2695.686174796436
95,A/Oregon/Flu-OHSU-241140095/2023,inf,0.0
98,A/PaisVasco/1994/2023,834.6936679891924,1461.985452626916
101,A/Panama/M270337/2023,268.91101323590266,4537.969588212741
104,A/Para/2023-020942-IEC/2023,199.32073876891963,6122.343352413285
107,A/Pennsylvania/46/2023,20.168706769324316,60505.1188436155
110,A/Pennsylvania/51/2023,199.2683878115416,6123.9517888512755
113,A/Perth/110/2023,10.964411145693983,111297.3586802469
116,A/Perth/275/2023,1210.9727083063406,1007.7105715344471
119,A/Perth/372/2023,1425.485061610341,856.0664947421062
122,A/Philippines/10/2023,117.44216172645136,10390.731761582952
125,A/RioGrandedoSul/6798/2023,3103.465925652983,393.2087637608721
128,A/Senegal/1341/2023,935.4175374461919,1304.5618145364267
131,A/Senegal/1382/2023,631.0347729334966,1933.823700914507
134,A/Senegal/1423/2023,83.40716261715971,14630.757859504745
137,A/Singapore/GP7085/2023,96.43534011116697,12654.178422487787
140,A/SouthAfrica/R06646/2023,63.841892085890116,19114.565062674643
143,A/SouthAustralia/179/2023,4710.136442091346,259.0816667421572
146,A/Sydney/130/2023,2217.5400993639337,550.2989552928611
149,A/Sydney/166/2023,1212.0850564117993,1006.7857808696606
152,A/Sydney/591/2023,146.90652889302618,8306.710458652255
155,A/Sydney/845/2023,8.585737041183018,142132.2356073294
158,A/Tasmania/140/2023,1953.302274889904,624.7420154511321
161,A/Thies/1247/2023,135.65573878001717,8995.63859940261
164,A/Valparaiso/41964/2023,457.8598372096221,2665.2479663581084
167,A/Victoria/1010/2023,154.77925015307005,7884.196355733508
170,A/Victoria/1013/2023,1593.9501925199436,765.5885395457433
173,A/Victoria/1384/2023,1659.1866044349379,735.4868926365252
176,A/Victoria/1389/2023,2523.970468603079,483.4882242799754
179,A/Victoria/1834/2023,12.00547291920957,101646.14157326707
182,A/Victoria/2241/2023,3742.4680722044354,326.07091802955523
185,A/Victoria/4897/2022_IVR238,inf,0.0
188,A/Washington/32/2023,365.05465503667983,3342.8145160274316
191,A/Wisconsin/588/2019,437.40651824697517,2789.8761200238214
194,A/Wisconsin/67/2022,2325.522562744391,524.7465750493042
